datetime,border_1,border_100,border_1200
2014-08-17 08:59:00,113816490,20478330,6510570
2014-08-17 09:59:00,113816490,20482950,6524220
2014-08-17 10:59:00,113816490,20482950,6556560
2014-08-17 11:59:00,113816490,20482950,6587190
2014-08-17 12:59:00,113816490,20540550,6653340
2014-08-17 13:59:00,113816490,20540550,6712620
2014-08-17 14:59:00,113816490,20540550,6734880
2014-08-17 15:59:00,115593540,20540550,6748290
2014-08-17 16:59:00,118194090,20670720,6769740
2014-08-17 17:59:00,118194090,20670720,6795510
2014-08-17 18:59:00,118194090,20673120,6824430
2014-08-17 19:59:00,119175540,20709720,6884040
2014-08-17 20:59:00,119175540,20709720,6907830
2014-08-17 21:59:00,119187840,20724480,7017660
2014-08-17 22:59:00,120753540,20724480,7093800
2014-08-17 23:59:00,122892090,21139170,7282680
2014-08-18 00:59:00,124904790,21456930,7367700
2014-08-18 01:59:00,125463690,21464670,7412040
2014-08-18 02:59:00,125463690,21464670,7465350
2014-08-18 03:59:00,125463690,21464670,7514670
2014-08-18 04:59:00,125463690,21464670,7548960
2014-08-18 05:59:00,125463690,21464670,7550190
2014-08-18 06:59:00,125463690,21525690,7555680
2014-08-18 07:59:00,125463690,21525690,7584510
2014-08-18 08:59:00,125463690,21525690,7604370
2014-08-18 09:59:00,125463690,21539280,7628910
2014-08-18 10:59:00,125463690,21539280,7662870
2014-08-18 11:59:00,125463690,21539280,7714140
2014-08-18 12:59:00,125700690,21549900,7803330
2014-08-18 13:59:00,125700690,21693180,7839270
2014-08-18 14:59:00,125700690,21693180,7900350
2014-08-18 15:59:00,125700690,21693180,7974150
2014-08-18 16:59:00,125700690,21693180,8032860
2014-08-18 17:59:00,125700690,21693180,8056530
2014-08-18 18:59:00,125716590,21803820,8183160
2014-08-18 19:59:00,125973990,21803820,8310240
2014-08-18 20:59:00,125973990,21829260,8523960
2014-08-18 21:59:00,125973990,21829260,8660700
2014-08-18 22:59:00,128693640,21974430,8911230
2014-08-18 23:59:00,131590590,22137720,9158160
2014-08-19 00:59:00,131801040,22457190,9398910
2014-08-19 01:59:00,132240840,22584660,9730800
2014-08-19 02:59:00,132240840,23029350,9884940
2014-08-19 03:59:00,132240840,23140230,9973050
2014-08-19 04:59:00,132240840,23457990,10099080
2014-08-19 05:59:00,132240840,23671830,10226820
2014-08-19 06:59:00,132240840,23671830,10340280
2014-08-19 07:59:00,132240840,24060900,10483530
2014-08-19 08:59:00,132240840,24081990,10596480
2014-08-19 09:59:00,132240840,24081990,10786320
2014-08-19 10:59:00,135522540,24140730,11067060
2014-08-19 11:59:00,135694290,24140730,11228430
2014-08-19 12:59:00,135694290,24959130,11598090
2014-08-19 13:59:00,143762220,25551090,11944350
2014-08-19 14:59:00,146287320,26157450,12253530
2014-08-19 15:59:00,146296620,27466290,12826560
